Trade Date,Transaction,Contract #,Market,Sett. Date,Symbol,Quantity,Rate,Brok. Rate,Brok. Amount,Net Rate,SST Amount,Levies,Amount
17-08-2026,Purchase,01967521,Ready,18-08-26,OGDC,1,319.0000,0.6380,0.64,319.6380,0.10,0.04,319.77
17-08-2026,Sale,01057026,Ready,18-08-26,OGDC,1,319.0000,0.0000,0.00,319.0000,0.00,0.04,-318.96
18-08-2026,Purchase,01984117,Ready,19-08-26,CNERGY,5,15.2500,0.0500,0.25,15.3000,0.04,0.01,76.55
18-08-2026,Purchase,01984118,Ready,19-08-26,DCR,1,38.8000,0.0776,0.08,38.8776,0.01,0.00,38.89
18-08-2026,Purchase,01984119,Ready,19-08-26,OGDC,5,314.5000,0.6290,3.15,315.1290,0.47,0.19,1576.31
18-08-2026,Purchase,01984119,Ready,19-08-26,OGDC,2,314.5500,0.6291,1.26,315.1791,0.19,0.08,630.62
18-08-2026,Purchase,01984119,Ready,19-08-26,OGDC,5,314.9000,0.6298,3.15,315.5298,0.47,0.19,1578.31
18-08-2026,Purchase,01984119,Ready,19-08-26,OGDC,10,315.8000,0.6316,6.32,316.4316,0.95,0.38,3165.64
18-08-2026,Purchase,01984119,Ready,19-08-26,OGDC,10,315.9100,0.6318,6.32,316.5418,0.95,0.38,3166.74
18-08-2026,Purchase,01984119,Ready,19-08-26,OGDC,2,317.5500,0.6351,1.27,318.1851,0.19,0.08,636.64
18-08-2026,Purchase,01984120,Ready,19-08-26,SNGP,1,104.2000,0.2084,0.21,104.4084,0.03,0.01,104.45
18-08-2026,Purchase,01984120,Ready,19-08-26,SNGP,1,105.6000,0.2112,0.21,105.8112,0.03,0.01,105.86
18-08-2026,Sale,01066016,Ready,19-08-26,CNERGY,5,15.3600,0.0000,0.00,15.3600,0.00,0.01,-76.79
18-08-2026,Sale,01066017,Ready,19-08-26,DCR,1,38.9000,0.0000,0.00,38.9000,0.00,0.00,-38.90
19-08-2026,Purchase,01999659,Ready,20-08-26,SNGP,1,101.8500,0.2037,0.20,102.0537,0.03,0.01,102.10
19-08-2026,Purchase,01999659,Ready,20-08-26,SNGP,1,101.9000,0.2038,0.20,102.1038,0.03,0.01,102.15
19-08-2026,Purchase,01999659,Ready,20-08-26,SNGP,1,102.0000,0.2040,0.20,102.2040,0.03,0.01,102.25
19-08-2026,Purchase,01999659,Ready,20-08-26,SNGP,1,102.2000,0.2044,0.20,102.4044,0.03,0.01,102.45
19-08-2026,Purchase,01999659,Ready,20-08-26,SNGP,1,102.6000,0.2052,0.21,102.8052,0.03,0.01,103.00
19-08-2026,Purchase,01999659,Ready,20-08-26,SNGP,1,102.7500,0.2055,0.21,102.9555,0.03,0.01,103.00
19-08-2026,Purchase,01999659,Ready,20-08-26,SNGP,1,103.0000,0.2060,0.21,103.2060,0.03,0.01,103.25
